"District.Name","District.ID","School.ID","School.Name","Location","Lattitude","Longitude","Lowest.Grade","Highest.Grade","Title.I.Status.Count.5yrs","Avg.Enrollment10.14.5yrs","Std.Dev.Enroll","Avg.S.Count.AYP.5yrs","Std.Dev.S.Count.AYP.5yrs","Avg.S.P.Prof.R.5yrs","Std.Dev.S.P.Prof.R.5yrs","Avg.S.P.Prof.W.5yrs","Std.Dev.S.P.Prof.W.5yrs","Avg.S.P.Prof.M.5yrs","Std.Dev.S.P.Prof.M.5yrs","Avg.T.Count.5yrs","Std.Dev.T.Count.5yrs","Avg.T.Retention.5yrs","Std.Dev.Trentention.5yrs","Avg.Grad.5yrs","Std.Dev.Grad.5yrs","Avg.Attend.5yrs","Std.Dev.Attend.5yrs","Avg.P.S.Eth.AN.5yrs","Stdev.P.S.Eth.AN.5yrs","Avg.P.S.Gender.Male.5yrs","Std.Dev.P.S.Gender.Male.5yrs"
"Denali ",2,20010,"Anderson School","Anderson",64.344,-149.186,"KG",12,5,28.4,8.73,16.6,5.18,85.27,6.38,81.87,6.08,78.11,8.45,6.8,0.84,68.93,19.29,53.3,39.79,92.8,3,15.34,9.965,54.67,3.884
"Denali ",2,20030,"Cantwell School","Cantwell",63.391,-148.95,"KG",12,5,26,7.04,17.6,1.82,96.95,4.5,89.68,11.9,87.75,4.9,4,1,73,31.54,70,44.72,89.2,2.8,6.21,7.236,64.98,6.001
"Denali ",2,20040,"Tri-Valley School","Healy",63.856,-148.966,"PE",12,5,180,5.61,98,8.22,87.77,3.1,85.2,2.89,79.95,3.17,14.8,1.48,77.53,11.38,83.8,7.8,90.6,2.56,1.8,1.326,52.66,1.739
"Denali ",2,28010,"Denali Peak Program","Healy",63.856,-148.966,"KG",12,1,498,164.27,276,53.42,85.65,6.15,78.63,3.67,77.86,3.21,2.6,0.55,56.67,27.89,16,11.86,100,0.01,4.67,2.109,51.15,1.9
"Bering Strait",7,70010,"Brevig Mission School","Brevig Mission",65.334,-166.489,"PE",12,5,125.8,8.87,65.6,3.29,35.7,6.23,30.07,3.31,34.43,5.49,14.6,1.52,62.56,12.25,67,21.1,83.9,1.59,98.09,0.922,48.97,4.141
"Bering Strait",7,70040,"Aniguiin School","Elim",64.617,-162.261,"PE",12,5,96.2,11.03,48.6,5.32,56.49,9.66,44.41,9.4,64.49,9.57,9.8,0.45,79.56,12.29,59.2,25.41,91.9,1.81,99.81,0.418,58.74,1.942
"Bering Strait",7,70050,"Little Diomede School","Diomede",65.736,-168.941,"KG",12,5,32.4,7.57,15.4,1.52,25.08,12.73,11.33,10.43,8.76,4.42,4.2,1.1,55,28.01,73.3,27.89,87.5,1.6,100,0,38.17,6.679
"Bering Strait",7,70060,"Martin L. Olson School","Golovin",64.543,-163.029,"KG",12,5,55.8,8.07,25.8,2.28,59.44,13.08,53.68,9.91,46.92,6.61,5.8,0.84,69.9,17.97,93.3,14.91,92.4,2.07,97.16,0.809,45.07,2.837
"Bering Strait",7,70070,"Koyuk-Malimiut School","Koyuk",64.93,-161.16,"PE",12,5,106.8,7.46,57.2,2.59,63.92,8.52,61.85,6.39,51.68,7.72,11.2,1.3,62.14,21.08,68.4,20.58,86.5,2.14,99.81,0.426,54.13,3.777
"Bering Strait",7,70080,"Anthony A. Andrews School","St. Michael",63.478,-162.039,"PE",12,5,172,10.07,85.8,10.71,52.87,8.64,54.18,4.92,54.89,9.83,17.2,1.1,70.83,8.33,68.2,25.2,89.2,2.28,99.08,0.881,53.11,1.298
"Bering Strait",7,70100,"Shaktoolik School","Shaktoolik",64.333,-161.153,"KG",12,5,74.6,11.17,39.4,4.98,47.47,10.74,34.85,3.04,41.91,6.37,7.6,0.55,65.36,9.07,74.8,15.91,91.8,1.21,99.37,0.865,59.16,4.113
"Bering Strait",7,70110,"Shishmaref School","Shishmaref",66.26,-166.07,"PE",12,5,198.8,18.59,99.8,13.14,50.55,6.72,46.22,4.19,49.84,6.96,16.4,0.55,73.16,3.31,47.8,21.79,88,2.65,99.49,0.508,56.67,1.057
"Bering Strait",7,70120,"Tukurngailnguq School","Stebbins",63.51,-162.27,"PE",12,5,198.2,11.84,95.2,5.4,39.09,10.52,34.07,7.77,27.67,4.08,17.4,0.55,64.25,10.07,44.3,14.1,85.5,1.97,99.81,0.434,53.08,1.556
"Bering Strait",7,70130,"James C. Isabell School","Teller",65.26,-166.35,"KG",12,5,72.8,3.49,40.8,2.05,73.95,6.35,70.55,5.44,72.02,3.95,8.8,0.45,77.5,24.7,76.7,18.07,91.5,2.39,99.46,0.736,48.51,3.522
"Bering Strait",7,70150,"Wales School","Wales",65.609,-168.087,"KG",12,5,39.2,4.66,17,1.87,47.26,5.7,30.88,8.09,35.15,12.02,4.4,0.55,74,32.67,86.7,16.33,84.9,3.66,100,0,45.05,4.469
"Bering Strait",7,70160,"White Mountain School","White Mountain",64.68,-163.41,"KG",12,5,50,3.54,27.2,2.39,80.39,4.9,66.72,6.1,70.78,3.63,7.4,0.55,84.29,10.29,59,36.81,93.5,4.03,92.03,2.663,55.17,1.806
